FIELD	AUTHORITY	DECISION_STATUS	POSTGRESQL_TABLE	POSTGRESQL_TARGET	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	write	fortytwo-auth/src/legacy_userdb_provision.c	427	5	record	record->Security.level	record->Security.level = registration->defaults.security_level;
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	write	fortytwo-auth/src/legacy_userdb_provision.c	428	5	record	record->Security.flags	record->Security.flags = registration->defaults.security_flags;
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	write	fortytwo-auth/src/legacy_userdb_provision.c	429	5	record	record->Security.notflags	record->Security.notflags = registration->defaults.security_notflags;
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	fortytwo-auth/src/legacy_userdb_provision.c	430	25	record	record->Security	record->ExpirySec = record->Security;
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbnntp/commands.c	286	56	usrconfig	usrconfig.Security	(strcasecmp(opt, msgs.Newsgroup) == 0) && Access(usrconfig.Security, msgs.RDSec)) {
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbnntp/commands.c	350	82	usrconfig	usrconfig.Security	if (msgs.Active && (msgs.Type == ECHOMAIL) && strlen(msgs.Newsgroup) && Access(usrconfig.Security, msgs.RDSec)) {
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbnntp/commands.c	351	18	usrconfig	usrconfig.Security	if (Access(usrconfig.Security, msgs.WRSec))
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbsebbs/change.c	972	35	exitinfo	exitinfo.Security	if (PROT.Available && Access(exitinfo.Security, PROT.Level)) {
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbsebbs/change.c	994	76	exitinfo	exitinfo.Security	if ((strncmp(PROT.ProtKey, Prot, 1) == 0) && PROT.Available && Access(exitinfo.Security, PROT.Level)) {
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbsebbs/dispfile.c	306	10	exitinfo	exitinfo.Security.level	if (exitinfo.Security.level >= iSec) {
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbsebbs/dispfile.c	460	28	exitinfo	exitinfo.Security.level	"snprintf(temp, 81, ""%d"", exitinfo.Security.level);"
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbsebbs/door.c	228	28	exitinfo	exitinfo.Security.level	"fprintf(fp, ""%d\r\n"", exitinfo.Security.level);"
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbsebbs/door.c	300	28	exitinfo	exitinfo.Security.level	"fprintf(fp, ""%d\r\n"", exitinfo.Security.level); /* User's security level		*/"
Security	PostgreSQL	decided	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	read	mbsebbs/door.c	360	35	exitinfo	exitinfo.Security.level	"fprintf(fp, ""%d\r\n"", exitinfo.Security.level);"
