FIELD	CATEGORY	AUTHORITY	DECISION_STATUS	POSTGRESQL_TABLE	POSTGRESQL_TARGET	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
tFirstLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	fortytwo-auth/src/legacy_userdb_provision.c	425	5	record	record->tFirstLoginDate	record->tFirstLoginDate = (int32_t)registration->registered_at;
tFirstLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	452	42	exitinfo	exitinfo.tFirstLoginDate	"snprintf(temp, 81, ""%s %s"", StrDateDMY(exitinfo.tFirstLoginDate), StrTimeHMS(exitinfo.tFirstLoginDate));"
tFirstLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	452	80	exitinfo	exitinfo.tFirstLoginDate	"snprintf(temp, 81, ""%s %s"", StrDateDMY(exitinfo.tFirstLoginDate), StrTimeHMS(exitinfo.tFirstLoginDate));"
tFirstLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/newuser.c	400	5	usrconfig	usrconfig.tFirstLoginDate	usrconfig.tFirstLoginDate = ltime; /* Set first login date to current date */
tFirstLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	521	8	usrconfig	usrconfig.tFirstLoginDate	now = usrconfig.tFirstLoginDate;
tFirstLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	1067	19	usrconfig	usrconfig.tFirstLoginDate	tt = (time_t)usrconfig.tFirstLoginDate;
tFirstLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbutils/mbuser.c	266	10	usr	usr.tFirstLoginDate	Last = usr.tFirstLoginDate;
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	fortytwo-auth/src/legacy_userdb_provision.c	426	5	record	record->tLastLoginDate	record->tLastLoginDate = 0;
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbnntp/auth.c	191	5	usrconfig	usrconfig.tLastLoginDate	usrconfig.tLastLoginDate = time(NULL);
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	230	34	exitinfo	exitinfo.tLastLoginDate	"fprintf(fp, ""%s\r\n"", Gdate(exitinfo.tLastLoginDate, Y2Kdoorsys));"
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	260	34	exitinfo	exitinfo.tLastLoginDate	"fprintf(fp, ""%s\r\n"", Gdate(exitinfo.tLastLoginDate, Y2Kdoorsys)); /* Last newfiles scan date */"
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/newuser.c	401	5	usrconfig	usrconfig.tLastLoginDate	usrconfig.tLastLoginDate = (time_t)0; /* To force setting new limits */
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/user.c	426	26	usrconfig	usrconfig.tLastLoginDate	if (((strcmp(StrDateDMY(usrconfig.tLastLoginDate), temp)) != 0) || IsNew) {
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/user.c	459	50	usrconfig	usrconfig.tLastLoginDate	"snprintf(LastLoginDate, 12, ""%s"", StrDateDMY(usrconfig.tLastLoginDate));"
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/user.c	460	49	usrconfig	usrconfig.tLastLoginDate	"snprintf(LastLoginTime, 9, ""%s"", StrTimeHMS(usrconfig.tLastLoginDate));"
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/user.c	461	17	usrconfig	usrconfig.tLastLoginDate	LastLogin = usrconfig.tLastLoginDate;
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	462	5	usrconfig	usrconfig.tLastLoginDate	usrconfig.tLastLoginDate = ltime; /* Set current login to current date */
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/userlist.c	116	68	u	u.tLastLoginDate	"snprintf(msg, 81, ""%-30s%-14s%-10d"", u.sLocation, StrDateDMY(u.tLastLoginDate), u.iTotalCalls);"
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/userlist.c	137	67	u	u.tLastLoginDate	"snprintf(msg, 81, ""%-30s%-14s%-10d"", u.sLocation, StrDateDMY(u.tLastLoginDate), u.iTotalCalls);"
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	525	8	usrconfig	usrconfig.tLastLoginDate	now = usrconfig.tLastLoginDate;
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	1069	19	usrconfig	usrconfig.tLastLoginDate	tt = (time_t)usrconfig.tLastLoginDate;
tLastLoginDate	account-timeline	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbutils/mbuser.c	268	10	usr	usr.tLastLoginDate	Last = usr.tLastLoginDate;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	fortytwo-auth/src/legacy_userdb_provision.c	440	5	record	record->iTimeLeft	record->iTimeLeft = 20;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	476	28	exitinfo	exitinfo.iTimeLeft	"snprintf(temp, 81, ""%d"", exitinfo.iTimeLeft);"
