FIELD	MEANING	AUTHORITY	POSTGRESQL_TABLE	POSTGRESQL_TARGET	DECISION_STATUS	DIRECT_WRITE	DIRECT_READ_WRITE	DIRECT_WRITER_FILE_COUNT	DIRECT_WRITER_FILES	DIRECT_WRITER_COMPONENTS	MBSETUP_DIRECT_WRITES	WHOLE_RECORD_EXPOSURE
sUserName	User First and Last Name	PostgreSQL	bbs_user_profiles	display_name	decided	4	4	5	fortytwo-auth/src/legacy_userdb_provision.c,lib/jammsg.c,mbsebbs/mail.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,lib,mbsebbs,mbsetup	2	yes
Name	Unix name	PostgreSQL	bbs_legacy_mbse_bindings	legacy_name	decided	4	0	4	fortytwo-auth/src/legacy_userdb_provision.c,mbnntp/auth.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbnntp,mbsebbs,mbsetup	1	yes
xPassword	Keine Quellcodebeschreibung	PostgreSQL-Credential	—	—	decided	1	0	1	fortytwo-auth/src/legacy_userdb_provision.c	fortytwo-auth	0	yes
sVoicePhone	Voice Number	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	4	0	3	mbsebbs/change.c,mbsebbs/newuser.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	yes
sDataPhone	Data/Business Number	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	5	0	3	mbsebbs/change.c,mbsebbs/newuser.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	yes
sLocation	Users Location	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	4	1	4	mbsebbs/change.c,mbsebbs/door.c,mbsebbs/newuser.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	yes
address	Users address	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	3	0	3	mbsebbs/change.c,mbsebbs/newuser.c,mbsetup/m_users.c	mbsebbs,mbsetup	1	yes
sDateOfBirth	Date of Birth	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	5	0	4	mbsebbs/change.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	yes
tFirstLoginDate	Date of First Login	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	2	0	2	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c	fortytwo-auth,mbsebbs	0	yes
tLastLoginDate	Date of Last Login	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	4	0	4	fortytwo-auth/src/legacy_userdb_provision.c,mbnntp/auth.c,mbsebbs/newuser.c,mbsebbs/user.c	fortytwo-auth,mbnntp,mbsebbs	0	yes
Security	User Security Level	PostgreSQL	bbs_user_roles / bbs_role_capabilities	Rollen- und Capability-Zuordnung	decided	6	0	4	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	yes
sComment	User Comment	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	3	0	2	fortytwo-auth/src/legacy_userdb_provision.c,mbsetup/m_users.c	fortytwo-auth,mbsetup	2	yes
sExpiryDate	User Expiry Date	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	4	0	3	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	2	yes
ExpirySec	Expiry Security Level	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	3	0	3	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	yes
sSex	Users Sex	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	7	0	3	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	3	yes
Hidden	Hide User from Lists	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	1	0	1	mbsetup/m_users.c	mbsetup	1	yes
HotKeys	Hot-Keys ON/OFF	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	7	0	4	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	yes
GraphMode	ANSI ON/OFF	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	7	0	4	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	yes
Deleted	Deleted Status	PostgreSQL	bbs_users	account_state / deleted_at	decided	2	0	2	mbsetup/m_users.c,mbutils/mbuser.c	mbsetup,mbutils	1	yes
NeverDelete	Never Delete User	Legacy bis zur Einzelentscheidung	noch nicht festgelegt	noch nicht festgelegt	open	1	0	1	mbsetup/m_users.c	mbsetup	1	yes
