SCOPE	FIELD	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
field	sUserName	write	fortytwo-auth/src/legacy_userdb_provision.c	415	12	record	record->sUserName	memcpy(record->sUserName, registration->display_name,
field	sUserName	read-write	lib/jammsg.c	144	25	_usr	_usr.sUserName	mycrc = StringCRC32(tl(_usr.sUserName));
field	sUserName	read-write	lib/jammsg.c	834	31	_usr	_usr.sUserName	mycrc = StringCRC32(tl(_usr.sUserName));
field	sUserName	read-write	lib/jammsg.c	850	31	_usr	_usr.sUserName	mycrc = StringCRC32(tl(_usr.sUserName));
field	sUserName	read-write	mbsebbs/mail.c	2460	21	usrconfig	usrconfig.sUserName	if (StringCRC32(tl(usrconfig.sUserName)) == Crc) {
field	sUserName	write	mbsebbs/newuser.c	192	12	usrconfig	usrconfig.sUserName	strcpy(usrconfig.sUserName, FullName);
field	sUserName	write	mbsetup/m_users.c	144	5	user	user->sUserName[sizeof(user->sUserName) - 1]	user->sUserName[sizeof(user->sUserName) - 1] = '\0';
field	sUserName	write	mbsetup/m_users.c	847	26	usrconfig	usrconfig.sUserName	"case 1:	E_STR(  6,17,35,usrconfig.sUserName,      ""The ^First and Last name^ of this user""); break;"
field	Name	write	fortytwo-auth/src/legacy_userdb_provision.c	417	12	record	record->Name	memcpy(record->Name, registration->legacy_name, legacy_length + 1U);
field	Name	write	mbnntp/auth.c	153	2	usrconfig	usrconfig.Name[sizeof(usrconfig.Name) - 1]	usrconfig.Name[sizeof(usrconfig.Name) - 1] = '\0';
field	Name	write	mbsebbs/newuser.c	193	12	usrconfig	usrconfig.Name	strcpy(usrconfig.Name, UnixName);
field	Name	write	mbsetup/m_users.c	145	5	user	user->Name[sizeof(user->Name) - 1]	user->Name[sizeof(user->Name) - 1] = '\0';
field	xPassword	write	fortytwo-auth/src/legacy_userdb_provision.c	424	5	record	record->xPassword	record->xPassword = 0U;
field	sVoicePhone	write	mbsebbs/change.c	671	13	exitinfo	exitinfo.sVoicePhone	strcpy(exitinfo.sVoicePhone, temp);
field	sVoicePhone	write	mbsebbs/newuser.c	216	10	usrconfig	usrconfig.sVoicePhone	strcpy(usrconfig.sVoicePhone, temp);
field	sVoicePhone	write	mbsetup/m_users.c	146	5	user	user->sVoicePhone[sizeof(user->sVoicePhone) - 1]	user->sVoicePhone[sizeof(user->sVoicePhone) - 1] = '\0';
field	sVoicePhone	write	mbsetup/m_users.c	646	37	usrconfig	usrconfig.sVoicePhone	"case 6: E_STR(11,17,16, usrconfig.sVoicePhone, ""The ^Voice Phone^ number of this user""); break;"
field	sDataPhone	write	mbsebbs/change.c	704	13	exitinfo	exitinfo.sDataPhone	strcpy(exitinfo.sDataPhone, temp);
field	sDataPhone	write	mbsebbs/newuser.c	239	10	usrconfig	usrconfig.sDataPhone	strcpy(usrconfig.sDataPhone, usrconfig.sVoicePhone);
field	sDataPhone	write	mbsebbs/newuser.c	249	10	usrconfig	usrconfig.sDataPhone	strcpy(usrconfig.sDataPhone, temp);
field	sDataPhone	write	mbsetup/m_users.c	147	5	user	user->sDataPhone[sizeof(user->sDataPhone) - 1]	user->sDataPhone[sizeof(user->sDataPhone) - 1] = '\0';
field	sDataPhone	write	mbsetup/m_users.c	647	37	usrconfig	usrconfig.sDataPhone	"case 7: E_STR(12,17,16, usrconfig.sDataPhone,  ""The ^Data Phone^ number of this user""); break;"
field	sLocation	write	mbsebbs/change.c	558	12	exitinfo	exitinfo.sLocation	Setup(exitinfo.sLocation,temp);
field	sLocation	read-write	mbsebbs/door.c	354	38	exitinfo	exitinfo.sLocation	"fprintf(fp, ""%s\r\n"", tu(exitinfo.sLocation));"
field	sLocation	write	mbsebbs/newuser.c	280	10	usrconfig	usrconfig.sLocation	strcpy(usrconfig.sLocation, temp);
field	sLocation	write	mbsetup/m_users.c	148	5	user	user->sLocation[sizeof(user->sLocation) - 1]	user->sLocation[sizeof(user->sLocation) - 1] = '\0';
field	sLocation	write	mbsetup/m_users.c	642	36	usrconfig	usrconfig.sLocation	"case 2: E_STR( 7,17,27,usrconfig.sLocation,""The users ^Location^""); break;"
field	address	write	mbsebbs/change.c	602	9	exitinfo	exitinfo.address[i]	Setup(exitinfo.address[i], temp);
field	address	write	mbsebbs/newuser.c	298	11	usrconfig	usrconfig.address[i]	GetstrC(usrconfig.address[i], 40);
field	address	write	mbsetup/m_users.c	645	37	usrconfig	usrconfig.address[j-3]	"case 5: E_STR(j+5,17,40,usrconfig.address[j-3],""^Address^""); break;"
field	sDateOfBirth	write	mbsebbs/change.c	823	12	exitinfo	exitinfo.sDateOfBirth	Setup(exitinfo.sDateOfBirth, temp);
field	sDateOfBirth	write	mbsebbs/newuser.c	393	14	usrconfig	usrconfig.sDateOfBirth	strcpy(usrconfig.sDateOfBirth,temp);
field	sDateOfBirth	write	mbsebbs/user.c	369	9	usrconfig	usrconfig.sDateOfBirth	strcpy(usrconfig.sDateOfBirth, exitinfo.sDateOfBirth);
field	sDateOfBirth	write	mbsetup/m_users.c	151	5	user	user->sDateOfBirth[sizeof(user->sDateOfBirth) - 1]	user->sDateOfBirth[sizeof(user->sDateOfBirth) - 1] = '\0';
field	sDateOfBirth	write	mbsetup/m_users.c	648	37	usrconfig	usrconfig.sDateOfBirth	"case 8: E_STR(13,17,10, usrconfig.sDateOfBirth,""The ^Date of Birth^ in DD-MM-YYYY format""); break;"
field	tFirstLoginDate	write	fortytwo-auth/src/legacy_userdb_provision.c	425	5	record	record->tFirstLoginDate	record->tFirstLoginDate = (int32_t)registration->registered_at;
field	tFirstLoginDate	write	mbsebbs/newuser.c	400	5	usrconfig	usrconfig.tFirstLoginDate	usrconfig.tFirstLoginDate = ltime; /* Set first login date to current date */
field	tLastLoginDate	write	fortytwo-auth/src/legacy_userdb_provision.c	426	5	record	record->tLastLoginDate	record->tLastLoginDate = 0;
field	tLastLoginDate	write	mbnntp/auth.c	191	5	usrconfig	usrconfig.tLastLoginDate	usrconfig.tLastLoginDate = time(NULL);
field	tLastLoginDate	write	mbsebbs/newuser.c	401	5	usrconfig	usrconfig.tLastLoginDate	usrconfig.tLastLoginDate = (time_t)0; /* To force setting new limits */
field	tLastLoginDate	write	mbsebbs/user.c	462	5	usrconfig	usrconfig.tLastLoginDate	usrconfig.tLastLoginDate = ltime; /* Set current login to current date */
field	Security	write	fortytwo-auth/src/legacy_userdb_provision.c	427	5	record	record->Security.level	record->Security.level = registration->defaults.security_level;
field	Security	write	fortytwo-auth/src/legacy_userdb_provision.c	428	5	record	record->Security.flags	record->Security.flags = registration->defaults.security_flags;
field	Security	write	fortytwo-auth/src/legacy_userdb_provision.c	429	5	record	record->Security.notflags	record->Security.notflags = registration->defaults.security_notflags;
field	Security	write	mbsebbs/newuser.c	404	5	usrconfig	usrconfig.Security	usrconfig.Security = CFG.newuser_access;
field	Security	write	mbsebbs/user.c	387	2	usrconfig	usrconfig.Security	usrconfig.Security = usrconfig.ExpirySec;
field	Security	write	mbsetup/m_users.c	849	3	usrconfig	usrconfig.Security	"usrconfig.Security = edit_usec(7,17,usrconfig.Security, (char *)""15.2   EDIT USER SECURITY"");"
field	sComment	write	fortytwo-auth/src/legacy_userdb_provision.c	418	12	record	record->sComment	memcpy(record->sComment, record_marker, strlen(record_marker) + 1U);
field	sComment	write	mbsetup/m_users.c	152	5	user	user->sComment[sizeof(user->sComment) - 1]	user->sComment[sizeof(user->sComment) - 1] = '\0';
field	sComment	write	mbsetup/m_users.c	864	26	usrconfig	usrconfig.sComment	"case 9 :E_STR( 18,17,62,usrconfig.sComment,       ""A ^Comment^ for this user""); break;"
field	sExpiryDate	write	fortytwo-auth/src/legacy_userdb_provision.c	419	12	record	record->sExpiryDate	"memcpy(record->sExpiryDate, ""00-00-0000"", sizeof(""00-00-0000""));"
field	sExpiryDate	write	mbsebbs/newuser.c	402	12	usrconfig	usrconfig.sExpiryDate	"strcpy(usrconfig.sExpiryDate,""00-00-0000"");"
field	sExpiryDate	write	mbsetup/m_users.c	153	5	user	user->sExpiryDate[sizeof(user->sExpiryDate) - 1]	user->sExpiryDate[sizeof(user->sExpiryDate) - 1] = '\0';
field	sExpiryDate	write	mbsetup/m_users.c	858	26	usrconfig	usrconfig.sExpiryDate	"case 3 :E_STR(  8,17,10,usrconfig.sExpiryDate,    ""The ^Expiry Date^ in DD-MM-YYYY format, 00-00-0000 is no expire""); break;"
field	ExpirySec	write	fortytwo-auth/src/legacy_userdb_provision.c	430	5	record	record->ExpirySec	record->ExpirySec = record->Security;
field	ExpirySec	write	mbsebbs/newuser.c	403	5	usrconfig	usrconfig.ExpirySec	usrconfig.ExpirySec = CFG.newuser_access;
field	ExpirySec	write	mbsetup/m_users.c	859	26	usrconfig	usrconfig.ExpirySec.level	"case 4 :E_INT(  9,17,   usrconfig.ExpirySec.level,""The ^Expiry Level^ for this user""); break;"
field	sSex	write	fortytwo-auth/src/legacy_userdb_provision.c	420	12	record	record->sSex	"memcpy(record->sSex, ""Unknown"", sizeof(""Unknown""));"
field	sSex	write	mbsebbs/newuser.c	347	12	usrconfig	usrconfig.sSex	"snprintf(usrconfig.sSex, 8, ""Male"");"
field	sSex	write	mbsebbs/newuser.c	353	12	usrconfig	usrconfig.sSex	"snprintf(usrconfig.sSex, 8, ""Female"");"
field	sSex	write	mbsebbs/newuser.c	365	11	usrconfig	usrconfig.sSex	"snprintf(usrconfig.sSex, 8, ""Unknown""); /* If set off, set to Unknown */"
field	sSex	write	mbsetup/m_users.c	154	5	user	user->sSex[sizeof(user->sSex) - 1]	user->sSex[sizeof(user->sSex) - 1] = '\0';
field	sSex	write	mbsetup/m_users.c	659	12	usrconfig	usrconfig.sSex	"strcpy(usrconfig.sSex, ""Female"");"
field	sSex	write	mbsetup/m_users.c	661	12	usrconfig	usrconfig.sSex	"strcpy(usrconfig.sSex, ""Male\0\0"");"
field	Hidden	write	mbsetup/m_users.c	861	26	usrconfig	usrconfig.Hidden	"case 6 :E_BOOL(15,17,   usrconfig.Hidden,         ""Is user ^hidden^ on the BBS""); break;"
field	HotKeys	write	fortytwo-auth/src/legacy_userdb_provision.c	432	5	record	record->HotKeys	record->HotKeys = 1U;
field	HotKeys	write	mbsebbs/change.c	345	2	exitinfo	exitinfo.HotKeys	exitinfo.HotKeys = FALSE;
field	HotKeys	write	mbsebbs/change.c	349	2	exitinfo	exitinfo.HotKeys	exitinfo.HotKeys = TRUE;
field	HotKeys	write	mbsebbs/newuser.c	441	3	usrconfig	usrconfig.HotKeys	usrconfig.HotKeys = TRUE;
field	HotKeys	write	mbsebbs/newuser.c	445	3	usrconfig	usrconfig.HotKeys	usrconfig.HotKeys = FALSE;
field	HotKeys	write	mbsebbs/newuser.c	453	2	usrconfig	usrconfig.HotKeys	usrconfig.HotKeys = TRUE; /* Default set it to Hotkeys */
field	HotKeys	write	mbsetup/m_users.c	686	34	usrconfig	usrconfig.HotKeys	"case 15:E_BOOL( 7,71,usrconfig.HotKeys,      ""Is user using ^HotKeys^ for menus""); break;"
field	GraphMode	write	fortytwo-auth/src/legacy_userdb_provision.c	431	5	record	record->GraphMode	record->GraphMode = 1U;
field	GraphMode	write	mbsebbs/change.c	632	9	exitinfo	exitinfo.GraphMode	exitinfo.GraphMode = FALSE;
field	GraphMode	write	mbsebbs/change.c	636	9	exitinfo	exitinfo.GraphMode	exitinfo.GraphMode = TRUE;
field	GraphMode	write	mbsebbs/newuser.c	417	17	usrconfig	usrconfig.GraphMode	usrconfig.GraphMode = TRUE;
field	GraphMode	write	mbsebbs/newuser.c	421	17	usrconfig	usrconfig.GraphMode	usrconfig.GraphMode = FALSE;
field	GraphMode	write	mbsebbs/newuser.c	429	9	usrconfig	usrconfig.GraphMode	usrconfig.GraphMode = TRUE; /* Default set it to ANSI */
