KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
metadata	fortytwo-auth/src/legacy_userdb.c	654	35	record	record	memset(&record, 0, sizeof(record));
metadata	fortytwo-auth/src/legacy_userdb.c	655	47	record	record	if (read_exact_at(fd, &record, sizeof(record), offset) != 0) {
metadata	fortytwo-auth/src/legacy_userdb_provision.c	412	31	record	record	memset(record, 0, sizeof(*record));
metadata	fortytwo-auth/src/legacy_userdb_provision.c	1185	35	record	record	memset(&record, 0, sizeof(record));
metadata	fortytwo-auth/src/legacy_userdb_provision.c	1186	47	record	record	if (read_exact_at(fd, &record, sizeof(record), offset) != 0) {
metadata	fortytwo-auth/src/legacy_userdb_provision.c	1210	59	record	record	memcmp(&record, expected_owned_record, sizeof(record)) != 0) {
metadata	fortytwo-auth/src/legacy_userdb_provision.c	1294	49	existing	existing	if (read_exact_at(fd, &existing, sizeof(existing),
metadata	fortytwo-auth/src/legacy_userdb_provision.c	2361	52	record	record	memcpy(&record, prepared->record_bytes, sizeof(record));
metadata	fortytwo-auth/src/legacy_userdb_provision.c	2478	50	record	record	memcpy(context.record_bytes, &record, sizeof(record));
metadata	lib/dbuser.c	40	43	usr	usr	(usrhdr.recsize <= (int)sizeof(usr));
metadata	lib/dbuser.c	49	25	usr	usr	memset(&usr, 0, sizeof(usr));
metadata	lib/dbuser.c	95	26	usr	usr	memset(&usr, 0, sizeof(usr));
metadata	lib/jammsg.c	848	32	usr	usr	memset(&_usr, 0, sizeof(usr));
metadata	mbnntp/auth.c	138	41	usrconfig	usrconfig	((size_t)usrconfighdr.recsize > sizeof(usrconfig)) ||
metadata	mbnntp/auth.c	150	31	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbnntp/auth.c	168	31	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbnntp/auth.c	177	31	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbnntp/auth.c	187	31	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbnntp/auth.c	201	31	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbnntp/mbnntp.c	178	34	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbsebbs/bye.c	114	44	exitinfo	exitinfo	fread(&exitinfo, sizeof(exitinfo), 1, pExitinfo) != 1) {
metadata	mbsebbs/bye.c	128	50	usrconfig	usrconfig	} else if (fwrite(&usrconfig, sizeof(usrconfig), 1,
metadata	mbsebbs/exitinfo.c	103	34	exitinfo	exitinfo	if (fwrite(&exitinfo, sizeof(exitinfo), 1, pExitinfo) != 1) {
metadata	mbsebbs/exitinfo.c	135	33	exitinfo	exitinfo	if (fread(&exitinfo, sizeof(exitinfo), 1, pExitinfo) != 1)
metadata	mbsebbs/exitinfo.c	157	34	exitinfo	exitinfo	if (fwrite(&exitinfo, sizeof(exitinfo), 1, pExitinfo) != 1)
metadata	mbsebbs/misc.c	78	36	usrconfig	usrconfig	usrconfighdr.recsize = sizeof(usrconfig);
metadata	mbsebbs/newuser.c	94	34	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbsebbs/newuser.c	95	33	exitinfo	exitinfo	memset(&exitinfo, 0, sizeof(exitinfo));
metadata	mbsebbs/newuser.c	551	31	usrconfig	usrconfig	fwrite(&usrconfig, sizeof(usrconfig), 1, pUsrConfig);
metadata	mbsebbs/user.c	471	28	usrconfig	usrconfig	fwrite(&usrconfig, sizeof(usrconfig), 1, pUsrConfig);
metadata	mbsetup/m_users.c	81	61	usrconfig	usrconfig	if (header.recsize <= 0 || header.recsize > (int)sizeof(usrconfig)) {
metadata	mbsetup/m_users.c	122	35	usrconfig	usrconfig	usrconfighdr.recsize = sizeof(usrconfig);
metadata	mbsetup/m_users.c	172	45	usrconfig	usrconfig	usrconfighdr.recsize != (int)sizeof(usrconfig)) {
metadata	mbsetup/m_users.c	199	34	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbsetup/m_users.c	218	45	usrconfig	usrconfig	usrconfighdr.recsize != (int)sizeof(usrconfig)) {
metadata	mbsetup/m_users.c	232	35	usrconfig	usrconfig	if (fwrite(&usrconfig, sizeof(usrconfig), 1, fil) != 1 ||
metadata	mbsetup/m_users.c	369	35	usrconfig	usrconfig	usrconfighdr.recsize = sizeof(usrconfig);
metadata	mbsetup/m_users.c	376	38	usrconfig	usrconfig	memset(&usrconfig, 0, sizeof(usrconfig));
metadata	mbsetup/m_users.c	383	39	usrconfig	usrconfig	if (fwrite(&usrconfig, sizeof(usrconfig), 1, fout) != 1) {
