FIELD	CATEGORY	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
sComment	comment-mailbox	read	fortytwo-auth/src/legacy_userdb.c	667	39	record	record.sComment	!fixed_text_is_terminated(record.sComment,
sComment	comment-mailbox	metadata	fortytwo-auth/src/legacy_userdb.c	668	46	record	record.sComment	sizeof(record.sComment)) ||
sComment	comment-mailbox	read	fortytwo-auth/src/legacy_userdb.c	693	21	record	record.sComment	record.sComment, &audit->registration_marker_present,
sComment	comment-mailbox	write	fortytwo-auth/src/legacy_userdb_provision.c	418	12	record	record->sComment	memcpy(record->sComment, record_marker, strlen(record_marker) + 1U);
sComment	comment-mailbox	read	fortytwo-auth/src/legacy_userdb_provision.c	1199	39	record	record.sComment	!fixed_text_is_terminated(record.sComment,
sComment	comment-mailbox	metadata	fortytwo-auth/src/legacy_userdb_provision.c	1200	46	record	record.sComment	sizeof(record.sComment)) ||
sComment	comment-mailbox	read	fortytwo-auth/src/legacy_userdb_provision.c	1217	20	record	record.sComment	if (strcmp(record.sComment, expected_record_marker) == 0 &&
sComment	comment-mailbox	read	fortytwo-auth/src/legacy_userdb_provision.c	2374	37	record	record.sComment	fixed_text_is_terminated(record.sComment,
sComment	comment-mailbox	metadata	fortytwo-auth/src/legacy_userdb_provision.c	2375	44	record	record.sComment	sizeof(record.sComment)) &&
sComment	comment-mailbox	read	fortytwo-auth/src/legacy_userdb_provision.c	2380	19	record	record.sComment	strcmp(record.sComment, expected_record_marker) == 0 &&
sComment	comment-mailbox	read	mbsebbs/door.c	267	28	exitinfo	exitinfo.sComment	"fprintf(fp, ""%s\r\n"", exitinfo.sComment);"
sComment	comment-mailbox	write	mbsetup/m_users.c	152	5	user	user->sComment[sizeof(user->sComment) - 1]	user->sComment[sizeof(user->sComment) - 1] = '\0';
sComment	comment-mailbox	read	mbsetup/m_users.c	539	22	usrconfig	usrconfig.sComment	show_str( 18,17,63, usrconfig.sComment);
sComment	comment-mailbox	write	mbsetup/m_users.c	864	26	usrconfig	usrconfig.sComment	"case 9 :E_STR( 18,17,62,usrconfig.sComment,       ""A ^Comment^ for this user""); break;"
sComment	comment-mailbox	read	mbsetup/m_users.c	1076	42	usrconfig	usrconfig.sComment	"add_webtable(wp, (char *)""Comment"", usrconfig.sComment);"
Email	comment-mailbox	write	fortytwo-auth/src/legacy_userdb_provision.c	439	5	record	record->Email	record->Email = registration->defaults.email ? 1U : 0U;
Email	comment-mailbox	read	mbfido/mbmsg.c	341	10	usrconfig	usrconfig.Email	if (usrconfig.Email && strlen(usrconfig.Name)) {
Email	comment-mailbox	read	mbfido/scan.c	171	10	usrconfig	usrconfig.Email	if (usrconfig.Email && strlen(usrconfig.Name)) {
Email	comment-mailbox	read	mbsebbs/email.c	70	9	exitinfo	exitinfo.Email	if (exitinfo.Email)
Email	comment-mailbox	read	mbsebbs/email.c	1085	10	exitinfo	exitinfo.Email	if (!exitinfo.Email)
Email	comment-mailbox	read	mbsebbs/funcs.c	235	41	exitinfo	exitinfo.Email	if ((CFG.EmailMode == E_PRMISP) && exitinfo.Email && CFG.GiveEmail)
Email	comment-mailbox	read	mbsebbs/mail.c	2522	9	exitinfo	exitinfo.Email	if (exitinfo.Email && strlen(exitinfo.Password)) {
Email	comment-mailbox	read	mbsebbs/mail.c	2749	9	exitinfo	exitinfo.Email	if (exitinfo.Email) {
Email	comment-mailbox	write	mbsebbs/newuser.c	405	5	usrconfig	usrconfig.Email	usrconfig.Email = CFG.GiveEmail;
