FIELD	CATEGORY	AUTHORITY	DECISION_STATUS	POSTGRESQL_TABLE	POSTGRESQL_TARGET	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	fortytwo-auth/src/legacy_userdb.c	663	39	record	record.sUserName	!fixed_text_is_terminated(record.sUserName,
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	metadata	fortytwo-auth/src/legacy_userdb.c	664	46	record	record.sUserName	sizeof(record.sUserName)) ||
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	fortytwo-auth/src/legacy_userdb.c	686	34	record	record.sUserName	"""%s"", record.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	fortytwo-auth/src/legacy_userdb.c	718	32	record	record.sUserName	ascii_case_compare(record.sUserName, query->display_name) == 0) {
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	write	fortytwo-auth/src/legacy_userdb_provision.c	415	12	record	record->sUserName	memcpy(record->sUserName, registration->display_name,
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	fortytwo-auth/src/legacy_userdb_provision.c	551	31	record	record->sUserName	ascii_case_compare(record->sUserName, value) == 0 ||
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	fortytwo-auth/src/legacy_userdb_provision.c	1195	39	record	record.sUserName	!fixed_text_is_terminated(record.sUserName,
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	metadata	fortytwo-auth/src/legacy_userdb_provision.c	1196	46	record	record.sUserName	sizeof(record.sUserName)) ||
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	fortytwo-auth/src/legacy_userdb_provision.c	2372	37	record	record.sUserName	fixed_text_is_terminated(record.sUserName,
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	metadata	fortytwo-auth/src/legacy_userdb_provision.c	2373	44	record	record.sUserName	sizeof(record.sUserName)) &&
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	fortytwo-auth/src/legacy_userdb_provision.c	2379	19	record	record.sUserName	strcmp(record.sUserName, prepared->display_name) == 0 &&
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	lib/dbuser.c	76	18	usr	usr.sUserName	if ((strcasecmp(usr.sUserName, Name) == 0) ||
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read-write	lib/jammsg.c	144	25	_usr	_usr.sUserName	mycrc = StringCRC32(tl(_usr.sUserName));
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read-write	lib/jammsg.c	834	31	_usr	_usr.sUserName	mycrc = StringCRC32(tl(_usr.sUserName));
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read-write	lib/jammsg.c	850	31	_usr	_usr.sUserName	mycrc = StringCRC32(tl(_usr.sUserName));
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbfido/scan.c	176	45	usrconfig	usrconfig.sUserName	"printf(""\r%8s %-40s"", usrconfig.Name, usrconfig.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbfido/storenet.c	95	17	usr	usr.sUserName	strcpy(Msg.To, usr.sUserName);
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbfido/storenet.c	164	56	usr	usr.sUserName	"Syslog('+', ""Import netmail to %s in badmail board"", usr.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbfido/storenet.c	166	39	usr	usr.sUserName	"Syslog('+', ""Import netmail to %s"", usr.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbfido/storenet.c	175	50	usr	usr.sUserName	"Syslog('+', ""Empty netmail for %s dropped"", usr.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/chat.c	238	30	exitinfo	exitinfo.sUserName	mname = xstrcpy(clencode(exitinfo.sUserName));
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/dispfile.c	75	41	u	u.sUserName	if ((!u.Deleted) && (strlen(u.sUserName) > 0))
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/dispfile.c	432	28	exitinfo	exitinfo.sUserName	"snprintf(temp, 81, ""%s"", exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/dispfile.c	648	15	exitinfo	exitinfo.sUserName	p = xstrcpy(exitinfo.sUserName);
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/dispfile.c	675	15	exitinfo	exitinfo.sUserName	p = xstrcpy(exitinfo.sUserName);
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/door.c	223	28	exitinfo	exitinfo.sUserName	"fprintf(fp, ""%s\r\n"", exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/door.c	298	28	exitinfo	exitinfo.sUserName	"fprintf(fp, ""%s\r\n"", exitinfo.sUserName);	    /* User's real name			*/"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/door.c	344	39	exitinfo	exitinfo.sUserName	"snprintf(temp2, 36, ""%s"", exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	522	17	exitinfo	exitinfo.sUserName	p = xstrcpy(exitinfo.sUserName);
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	655	17	exitinfo	exitinfo.sUserName	p = xstrcpy(exitinfo.sUserName);
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	759	40	exitinfo	exitinfo.sUserName	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.sUserName, ascinode(Dest, 0x2f), exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	759	82	exitinfo	exitinfo.sUserName	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.sUserName, ascinode(Dest, 0x2f), exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	761	70	exitinfo	exitinfo.sUserName	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.Name, CFG.sysdomain, exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	891	40	exitinfo	exitinfo.sUserName	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.sUserName, ascinode(Dest, 0x2f), exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	891	82	exitinfo	exitinfo.sUserName	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.sUserName, ascinode(Dest, 0x2f), exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/email.c	893	70	exitinfo	exitinfo.sUserName	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.Name, CFG.sysdomain, exitinfo.sUserName);"
sUserName	profile	PostgreSQL	decided	bbs_user_profiles	display_name	read	mbsebbs/file.c	1083	30	exitinfo	exitinfo.sUserName	"snprintf(temp, 81, ""%-51s"", exitinfo.sUserName);"
